Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Baconton,Mitchell,1129,182,233,112,0,527,63,74,29,0,166,693,
Branchville,Mitchell,599,136,164,45,0,345,39,52,9,0,100,445,
Camilla North,Mitchell,1996,155,402,287,0,844,70,154,99,0,323,1167,
Camilla South,Mitchell,3475,194,1063,459,1,1717,76,307,152,2,537,2254,
Cotton,Mitchell,399,148,60,33,0,241,36,13,9,0,58,299,
Hopeful,Mitchell,350,70,73,27,2,172,30,26,9,0,65,237,
Hinsonton,Mitchell,134,63,17,5,0,85,14,4,2,0,20,105,
Lester,Mitchell,1357,230,274,127,1,632,63,73,40,0,176,808,
Pebble City,Mitchell,162,59,24,14,0,97,13,7,3,0,23,120,
Pelham,Mitchell,3489,311,761,441,1,1514,127,261,115,0,503,2017,
Sale City,Mitchell,384,124,47,29,0,200,27,17,9,0,53,253,
