Precinct,County,Registered Voters,Joe Campbell (I) (Rep)_Election Day Votes,Joe Campbell (I) (Rep)_Advanced Voting Votes,Joe Campbell (I) (Rep)_Absentee by Mail Votes,Joe Campbell (I) (Rep)_Provisional Votes,Joe Campbell (I) (Rep)_Choice Total,Total,
Baconton,Mitchell,1129,214,269,85,0,568,568,
Branchville,Mitchell,599,175,206,36,0,417,417,
Camilla North,Mitchell,1996,159,403,214,0,776,776,
Camilla South,Mitchell,3475,220,1199,434,3,1856,1856,
Cotton,Mitchell,399,188,72,38,0,298,298,
Hopeful,Mitchell,350,102,96,26,2,226,226,
Hinsonton,Mitchell,134,79,20,7,0,106,106,
Lester,Mitchell,1357,287,346,139,0,772,772,
Pebble City,Mitchell,162,72,29,17,0,118,118,
Pelham,Mitchell,3489,359,847,331,1,1538,1538,
Sale City,Mitchell,384,152,58,33,0,243,243,
