Precinct,County,Registered Voters,"Charles R. Van Hoy, Jr._Election Day Votes","Charles R. Van Hoy, Jr._Advanced Voting Votes","Charles R. Van Hoy, Jr._Absentee by Mail Votes","Charles R. Van Hoy, Jr._Provisional Votes","Charles R. Van Hoy, Jr._Choice Total",Total,
Bentons,Monroe,2297,332,964,230,1,1527,1527,
Brantleys,Monroe,1123,227,520,66,0,813,813,
Burgays,Monroe,2268,410,934,222,4,1570,1570,
Cabaniss,Monroe,800,187,214,44,1,446,446,
Cox,Monroe,718,155,286,49,0,490,490,
Culloden,Monroe,454,130,90,47,1,268,268,
Dillards,Monroe,996,156,380,52,0,588,588,
Evers,Monroe,2127,277,915,158,0,1350,1350,
Forsyth,Monroe,4640,314,1487,432,0,2233,2233,
High Falls,Monroe,1994,347,609,145,1,1102,1102,
Kelseys,Monroe,722,133,204,69,0,406,406,
Middlebrooks,Monroe,1319,204,567,86,0,857,857,
Proctors,Monroe,1214,241,341,78,0,660,660,
Russellville,Monroe,466,133,127,23,0,283,283,
