Precinct,County,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
Bentons,Monroe,2297,364,1014,233,1,1612,1612,
Brantleys,Monroe,1123,229,550,67,0,846,846,
Burgays,Monroe,2268,449,998,229,4,1680,1680,
Cabaniss,Monroe,800,213,229,41,1,484,484,
Cox,Monroe,718,155,298,42,0,495,495,
Culloden,Monroe,454,132,84,44,0,260,260,
Dillards,Monroe,996,160,409,52,0,621,621,
Evers,Monroe,2127,301,968,160,0,1429,1429,
Forsyth,Monroe,4640,306,1437,382,0,2125,2125,
High Falls,Monroe,1994,361,644,136,1,1142,1142,
Kelseys,Monroe,722,143,209,63,0,415,415,
Middlebrooks,Monroe,1319,223,587,85,0,895,895,
Proctors,Monroe,1214,247,358,72,0,677,677,
Russellville,Monroe,466,145,137,24,0,306,306,
