Precinct,County,Registered Voters,Dave Belton (I) (Rep)_Election Day Votes,Dave Belton (I) (Rep)_Advanced Voting Votes,Dave Belton (I) (Rep)_Absentee by Mail Votes,Dave Belton (I) (Rep)_Provisional Votes,Dave Belton (I) (Rep)_Choice Total,Total,
City Pond,Newton,1833,247,223,177,0,647,647,
Alcovy,Newton,4620,729,1010,614,1,2354,2354,
Covington Mills,Newton,3111,403,394,303,0,1100,1100,
Brewers,Newton,3538,974,435,249,1,1659,1659,
Brick Store,Newton,2623,827,501,356,0,1684,1684,
Gum Creek,Newton,4135,1019,960,625,1,2605,2605,
Leguinn,Newton,2177,781,343,253,2,1379,1379,
Mansfield,Newton,1524,805,174,148,0,1127,1127,
Newborn,Newton,784,412,64,64,0,540,540,
Oxford,Newton,2418,612,445,361,0,1418,1418,
Hub,Newton,2374,918,486,343,1,1748,1748,
