Precinct,County,Registered Voters,Angela Woodall (Rep)_Election Day Votes,Angela Woodall (Rep)_Advanced Voting Votes,Angela Woodall (Rep)_Absentee by Mail Votes,Angela Woodall (Rep)_Provisional Votes,Angela Woodall (Rep)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,698,3018,717,5,4438,4438,
Crossroads Library,Paulding,3662,367,1668,524,1,2560,2560,
Shelton Elementary,Paulding,5095,565,1969,585,3,3122,3122,
Russom Elementary,Paulding,8243,836,3249,1328,6,5419,5419,
Paulding Sr Center,Paulding,5972,613,2183,614,6,3416,3416,
Legacy Bapt Church,Paulding,4443,396,1346,628,4,2374,2374,
Watson Govt Cmplx,Paulding,10774,890,3442,1206,10,5548,5548,
West Ridge Church,Paulding,11546,1231,4223,1552,4,7010,7010,
Events Place,Paulding,4923,371,1254,552,3,2180,2180,
Poplar Sprgs Bapt Church,Paulding,4825,397,1368,498,0,2263,2263,
D Wright Innovation Ctr,Paulding,7137,637,2700,598,2,3937,3937,
Nebo Elem School,Paulding,10070,1263,3692,1013,5,5973,5973,
White Oak Park,Paulding,5833,636,1982,612,8,3238,3238,
Mulberry Rock Park,Paulding,5911,777,2498,683,5,3963,3963,
Beulahland Baptist Church,Paulding,2547,410,997,233,3,1643,1643,
Paulding County Airport,Paulding,4132,620,1485,418,5,2528,2528,
Picketts Mill Baptist Church,Paulding,2748,348,1097,361,1,1807,1807,
Taylor Farm Park,Paulding,2761,233,950,350,0,1533,1533,
Dobbins Middle School,Paulding,8081,593,2714,844,2,4153,4153,
