Precinct,County,Registered Voters,Gary Gulledge (I) (Rep)_Election Day Votes,Gary Gulledge (I) (Rep)_Advanced Voting Votes,Gary Gulledge (I) (Rep)_Absentee by Mail Votes,Gary Gulledge (I) (Rep)_Provisional Votes,Gary Gulledge (I) (Rep)_Choice Total,Total,
Burnt Hickory Park,Paulding,6242,697,3035,738,5,4475,4475,
Crossroads Library,Paulding,3662,375,1665,525,1,2566,2566,
Shelton Elementary,Paulding,5095,566,2009,598,3,3176,3176,
Russom Elementary,Paulding,8243,832,3250,1343,6,5431,5431,
Paulding Sr Center,Paulding,5972,625,2200,638,6,3469,3469,
Legacy Bapt Church,Paulding,4443,404,1358,648,4,2414,2414,
Watson Govt Cmplx,Paulding,10774,893,3490,1262,9,5654,5654,
West Ridge Church,Paulding,11546,1246,4261,1588,5,7100,7100,
Events Place,Paulding,4923,371,1263,566,3,2203,2203,
Poplar Sprgs Bapt Church,Paulding,4825,404,1383,515,0,2302,2302,
D Wright Innovation Ctr,Paulding,7137,638,2713,609,2,3962,3962,
Nebo Elem School,Paulding,10070,1272,3734,1036,4,6046,6046,
White Oak Park,Paulding,5833,635,1995,623,8,3261,3261,
Mulberry Rock Park,Paulding,5911,777,2520,695,5,3997,3997,
Beulahland Baptist Church,Paulding,2547,408,1003,237,3,1651,1651,
Paulding County Airport,Paulding,4132,621,1495,427,5,2548,2548,
Picketts Mill Baptist Church,Paulding,2748,348,1096,367,1,1812,1812,
Taylor Farm Park,Paulding,2761,240,972,358,0,1570,1570,
Dobbins Middle School,Paulding,8081,591,2735,846,2,4174,4174,
