Precinct,County,Registered Voters,David White Lindsey (I) (Rep)_Election Day Votes,David White Lindsey (I) (Rep)_Advanced Voting Votes,David White Lindsey (I) (Rep)_Absentee by Mail Votes,David White Lindsey (I) (Rep)_Provisional Votes,David White Lindsey (I) (Rep)_Choice Total,Total,
Yellow Creek,Pickens,3571,828,1035,389,0,2252,2252,
Sharptop,Pickens,2616,612,754,387,0,1753,1753,
Appalachian,Pickens,1933,428,646,182,0,1256,1256,
Refuge,Pickens,2490,585,802,213,0,1600,1600,
Hill,Pickens,2042,560,616,185,2,1363,1363,
Hinton,Pickens,825,316,148,39,0,503,503,
Jerusalem,Pickens,1145,494,204,72,0,770,770,
Ludville,Pickens,721,311,96,35,0,442,442,
Nelson,Pickens,1474,438,382,105,0,925,925,
Talking Rock,Pickens,1781,471,490,154,3,1118,1118,
Jasper,Pickens,2517,499,695,202,1,1397,1397,
Tate,Pickens,2651,679,821,220,1,1721,1721,
