Precinct,County,Registered Voters,Daphne Jarriel Totten (Rep)_Election Day Votes,Daphne Jarriel Totten (Rep)_Advanced Voting Votes,Daphne Jarriel Totten (Rep)_Absentee by Mail Votes,Daphne Jarriel Totten (Rep)_Provisional Votes,Daphne Jarriel Totten (Rep)_Choice Total,Total,
Sylvania,Screven,0,101,335,143,0,579,579,
Hunters,Screven,0,101,113,45,8,267,267,
Newington,Screven,0,254,255,67,0,576,576,
Jenk Hill Fire Sta,Screven,0,136,312,92,1,541,541,
Rocky Ford,Screven,0,115,152,50,0,317,317,
Bay Branch,Screven,0,202,337,70,1,610,610,
Hiltonia,Screven,0,120,246,53,0,419,419,
Screven Rec Dept,Screven,0,44,99,38,1,182,182,
Greenhill Church,Screven,0,186,267,63,0,516,516,
Sr Citizens Center,Screven,0,103,288,96,0,487,487,
Jackson Fire Station,Screven,0,107,85,31,0,223,223,
Cooperville Fire Station,Screven,0,29,52,28,1,110,110,
