Precinct,County,Registered Voters,Mike Kile (I) (Dem)_Election Day Votes,Mike Kile (I) (Dem)_Advanced Voting Votes,Mike Kile (I) (Dem)_Absentee by Mail Votes,Mike Kile (I) (Dem)_Provisional Votes,Mike Kile (I) (Dem)_Choice Total,Total,
Sylvania,Screven,0,113,368,191,1,673,673,
Hunters,Screven,0,90,122,72,9,293,293,
Newington,Screven,0,239,259,91,0,589,589,
Jenk Hill Fire Sta,Screven,0,152,337,127,0,616,616,
Rocky Ford,Screven,0,97,136,53,0,286,286,
Bay Branch,Screven,0,149,284,73,1,507,507,
Hiltonia,Screven,0,147,259,89,0,495,495,
Screven Rec Dept,Screven,0,63,115,57,3,238,238,
Greenhill Church,Screven,0,163,241,80,0,484,484,
Sr Citizens Center,Screven,0,155,379,151,0,685,685,
Jackson Fire Station,Screven,0,93,75,45,0,213,213,
Cooperville Fire Station,Screven,0,32,81,48,3,164,164,
