Precinct,County,Registered Voters,Don Shiver (I) (Rep)_Election Day Votes,Don Shiver (I) (Rep)_Advanced Voting Votes,Don Shiver (I) (Rep)_Absentee by Mail Votes,Don Shiver (I) (Rep)_Provisional Votes,Don Shiver (I) (Rep)_Choice Total,Total,
Barwick,Thomas,630,139,235,57,0,431,431,
Boston,Thomas,1632,228,481,153,0,862,862,
Central,Thomas,3523,248,1552,336,1,2137,2137,
Coolidge,Thomas,983,233,301,71,0,605,605,
Douglass,Thomas,2448,186,566,168,0,920,920,
LIttle Ochlocknee Baptist Church1132,Thomas,223,509,93,0,825,825,,
Fire Station #2,Thomas,1404,143,653,185,0,981,981,
Gatlin Creek,Thomas,2069,244,933,204,0,1381,1381,
Harper,Thomas,2001,126,492,178,0,796,796,
Jerger,Thomas,1898,135,835,257,0,1227,1227,
Meigs,Thomas,864,194,191,69,1,455,455,
Metcalfe,Thomas,299,87,84,27,0,198,198,
New Covenant,Thomas,2155,252,960,203,0,1415,1415,
Ochlocknee,Thomas,1175,291,392,57,0,740,740,
Pavo,Thomas,673,195,193,56,0,444,444,
Remington Esc,Thomas,2190,202,857,250,0,1309,1309,
Resource Center,Thomas,1363,100,250,155,0,505,505,
Scott,Thomas,2491,170,1138,263,1,1572,1572,
Merrillville,Thomas,701,68,301,51,0,420,420,
Patten,Thomas,397,91,164,25,0,280,280,
