Precinct,County,Registered Voters,Jonathan E. Jones (I) (Rep)_Election Day Votes,Jonathan E. Jones (I) (Rep)_Advanced Voting Votes,Jonathan E. Jones (I) (Rep)_Absentee by Mail Votes,Jonathan E. Jones (I) (Rep)_Provisional Votes,Jonathan E. Jones (I) (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,290,1167,291,12,1760,1760,
Brighton,Tift,2219,351,1094,189,0,1634,1634,
Brookfield,Tift,1501,329,547,80,0,956,956,
Chula,Tift,1314,319,528,130,1,978,978,
Docia,Tift,1056,242,457,100,1,800,800,
Eldorado,Tift,1262,296,439,78,2,815,815,
Omega,Tift,864,285,163,41,1,490,490,
Ty Ty,Tift,1221,289,378,87,1,755,755,
Tifton Northwest,Tift,3334,343,1388,282,0,2013,2013,
Tifton South,Tift,2366,154,455,129,1,739,739,
Mott-Litman Gym,Tift,2889,184,467,156,1,808,808,
Tifton Lodge,Tift,3091,252,1168,285,0,1705,1705,
