Precinct,County,Registered Voters,Julia Cook Barnett (Rep)_Election Day Votes,Julia Cook Barnett (Rep)_Advanced Voting Votes,Julia Cook Barnett (Rep)_Absentee by Mail Votes,Julia Cook Barnett (Rep)_Provisional Votes,Julia Cook Barnett (Rep)_Choice Total,Total,
Blairsville,Union,2435,267,989,394,3,1653,1653,
Coosa,Union,2294,381,975,279,0,1635,1635,
Choestoe,Union,1377,278,532,183,1,994,994,
Jones Creek,Union,1945,396,759,292,2,1449,1449,
Owltown,Union,1517,247,579,220,0,1046,1046,
Ivy Log,Union,2008,370,810,320,0,1500,1500,
Suches,Union,611,232,85,69,0,386,386,
Trackrock,Union,1110,200,420,162,0,782,782,
Dooley,Union,1531,347,523,215,2,1087,1087,
Gumlog,Union,2143,382,816,321,1,1520,1520,
Pat Colwell,Union,2230,321,981,325,2,1629,1629,
