Precinct,County,Registered Voters,James P. Burton_Election Day Votes,James P. Burton_Advanced Voting Votes,James P. Burton_Absentee by Mail Votes,James P. Burton_Provisional Votes,James P. Burton_Choice Total,Total,
La Fayette,Walker,6547,742,2042,679,1,3464,3464,
Walnut Grove,Walker,2212,415,746,198,0,1359,1359,
Rock Spring,Walker,6275,660,2493,614,0,3767,3767,
Armuchee Valley,Walker,1453,532,221,110,0,863,863,
Mountain,Walker,1254,376,226,118,1,721,721,
Chattanooga Valley,Walker,6325,866,2117,723,2,3708,3708,
Kensington,Walker,1347,355,316,108,2,781,781,
Rossville,Walker,6255,583,1749,574,1,2907,2907,
Chickamauga,Walker,6890,626,2714,693,1,4034,4034,
Fairyland,Walker,1265,166,473,102,0,741,741,
Fairview,Walker,3101,397,839,292,1,1529,1529,
