Precinct,County,Registered Voters,"Jay Fulton, Jr. (I) (Rep)_Election Day Votes","Jay Fulton, Jr. (I) (Rep)_Advanced Voting Votes","Jay Fulton, Jr. (I) (Rep)_Absentee by Mail Votes","Jay Fulton, Jr. (I) (Rep)_Provisional Votes","Jay Fulton, Jr. (I) (Rep)_Choice Total",Total,
Odum,Wayne,1260,305,498,95,0,898,898,
Madray Springs,Wayne,1176,181,536,142,0,859,859,
Oglethorpe,Wayne,1741,243,755,179,0,1177,1177,
Screven,Wayne,1849,483,625,148,2,1258,1258,
Empire,Wayne,1106,189,518,101,0,808,808,
Red Hill,Wayne,1036,142,385,99,0,626,626,
Altamaha,Wayne,2857,267,1090,240,2,1599,1599,
Gardi,Wayne,1123,299,350,122,2,773,773,
VFW,Wayne,1145,72,266,89,0,427,427,
Pine Street,Wayne,1140,105,365,109,0,579,579,
Unity,Wayne,1905,208,711,218,0,1137,1137,
Rec Center,Wayne,1766,232,729,167,0,1128,1128,
