Precinct,County,Registered Voters,Jon Estes (I) (Rep)_Election Day Votes,Jon Estes (I) (Rep)_Advanced Voting Votes,Jon Estes (I) (Rep)_Absentee by Mail Votes,Jon Estes (I) (Rep)_Provisional Votes,Jon Estes (I) (Rep)_Choice Total,Total,
Blue Creek,White,2352,420,839,309,0,1568,1568,
Blue Ridge,White,929,177,275,131,0,583,583,
Helen,White,609,128,164,64,0,356,356,
Mossy Creek,White,3164,651,1110,337,0,2098,2098,
Mt Yonah,White,4468,576,1687,553,2,2818,2818,
Nacoochee,White,1552,240,547,256,1,1044,1044,
Robertstown,White,407,111,119,46,0,276,276,
Shoal Creek,White,2538,470,818,256,0,1544,1544,
Tesnatee,White,1231,207,452,149,0,808,808,
Town Creek,White,1593,318,532,161,1,1012,1012,
White Creek,White,1779,364,636,207,0,1207,1207,
