Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Blue Creek,White,2352,354,730,344,0,1428,81,157,42,0,280,1708,
Blue Ridge,White,929,154,241,122,0,517,31,43,28,0,102,619,
Helen,White,609,107,155,72,0,334,30,20,13,0,63,397,
Mossy Creek,White,3164,536,908,310,0,1754,121,221,73,0,415,2169,
Mt Yonah,White,4468,498,1447,517,2,2464,86,298,116,0,500,2964,
Nacoochee,White,1552,199,514,295,1,1009,56,78,41,0,175,1184,
Robertstown,White,407,90,97,44,0,231,29,31,6,0,66,297,
Shoal Creek,White,2538,366,669,237,0,1272,111,145,60,0,316,1588,
Tesnatee,White,1231,167,394,172,0,733,50,81,17,0,148,881,
Town Creek,White,1593,254,466,183,1,904,76,91,21,0,188,1092,
White Creek,White,1779,278,481,168,0,927,99,144,52,0,295,1222,
